order_id,user_id,merchant_id,Booking_state_simple,Time_Order,trading_value,city_id,taxi_type_id,basket_size,GMV,commission_from_merchant
5373794598,16079061,AWgRzBk8Uxnp0OW7KQeF,COMPLETED,1/1/2020,73113,9,1510,236300,256300,15037
4874986701,29719870,AWgRy6_wU0GQ11lNf7tq,CANCELLED_DRIVER,1/2/2020,162883,9,1510,226300,246300,14401
7701922235,16395054,AWgOWOWpU0GQ11lN-DEI,COMPLETED,1/3/2020,50158,9,1510,314300,334300,20001
6791003728,84581531,AWgOV0Nz5b9pQDOtORmY,UNALLOCATED,1/4/2020,205528,9,1510,167300,187300,10646
4611885707,57628277,5-C2JKJRBBVJXYJJ,UNALLOCATED,1/5/2020,164813,9,1510,186300,206300,11855
4585414253,17433986,AWgRzZgMLieWGVhxlBKG,COMPLETED,1/6/2020,1434770,9,1510,236600,256600,15056
2431411054,78299912,AWgOV0Nz5b9pQDOtORmY,UNALLOCATED,1/7/2020,447349,9,1510,146300,166300,9310
2041405619,78364882,AWgRzBk8Uxnp0OW7KQeF,COMPLETED,1/8/2020,150512,9,1510,250300,270300,15928
8863346816,57422427,AWgRzWL25b9pQDOtz9o3,CANCELLED_DRIVER,1/9/2020,37404,9,1510,97300,117300,6192
8032055994,64432110,AWgRzZgMLieWGVhxlBKG,COMPLETED,1/10/2020,330480,9,1510,260300,280300,16565
5108231527,57431439,AWgRzZgMLieWGVhxlBKG,CANCELLED_DRIVER,1/11/2020,114895,9,1510,138000,158000,8782
5813193547,50770031,5-C2JKJRBBUEJYPE,UNALLOCATED,1/12/2020,295540,14,3490,189000,209000,12027
8956535237,57422427,AWgRzS9hU0GQ11lNgJd2,COMPLETED,1/13/2020,48720,9,1510,97300,117300,6192
7462836382,91311000,AWgOV0Nz5b9pQDOtORmY,COMPLETED,1/14/2020,190546,9,1510,543600,563600,34593
1966151502,16079061,AWgOWebAUxnp0OW73jIu,UNALLOCATED,1/15/2020,66005,9,1510,89000,109000,5664
1527175151,24448833,AWgOWEibU0GQ11lN99Fr,COMPLETED,1/16/2020,9522305,9,1510,146300,166300,9310
8959125694,47043856,5-C2JKJRBCGB3AT6,UNALLOCATED,1/17/2020,19506,14,3490,259000,279000,16482
4641284986,32336546,AWgOWHzCUxnp0OW73cEg,UNALLOCATED,1/18/2020,147731,9,1510,181300,201300,11537
3712142360,89284768,AWgRzx9gUxnp0OW7Kdck,CANCELLED_DRIVER,1/19/2020,2090981,9,1510,146300,166300,9310
6012710192,29719870,5-C2JKJRBCGBNWLN,COMPLETED,1/20/2020,60202,14,3490,168000,188000,10691
4276633137,78434551,AWgRzE-pU0GQ11lNgBZV,UNALLOCATED,1/21/2020,104467,9,1510,166300,186300,10583
3579256937,80678125,AWgRzZgMLieWGVhxlBKG,CANCELLED_DRIVER,1/22/2020,82080,9,1510,192300,212300,12237
5469611648,37790412,AWgRzx9gUxnp0OW7Kdck,UNALLOCATED,1/23/2020,197770,9,1510,215300,235300,13701
1806572213,29719870,AWgOV6m66sn1d-vrP_Zw,UNALLOCATED,1/24/2020,616314,9,1510,181300,201300,11537
7664524042,17714298,5-C2JKJRBBVX3KME,COMPLETED,1/25/2020,342440,9,1510,129000,149000,8209
3591474092,57628277,AWgRy6_wU0GQ11lNf7tq,COMPLETED,1/26/2020,127918,9,1510,229000,249000,14573
