Month,Year,Team,Total_point
08,2021,Brighton,6
08,2021,Aston Villa,3
08,2021,Liverpool,6
08,2021,West Ham,6
08,2021,Man City,6
08,2021,Brentford,5
08,2021,Everton,7
08,2021,Watford,3
08,2021,Man United,7
08,2021,Tottenham,9
08,2021,Chelsea,7
08,2021,Leicester,6
09,2021,Brighton,7
09,2021,Aston Villa,6
09,2021,Liverpool,7
09,2021,Arsenal,9
09,2021,Crystal Palace,3
09,2021,Everton,6
09,2021,Man United,6
09,2021,Chelsea,6
10,2021,Southampton,6
10,2021,Arsenal,7
10,2021,Leicester,7
10,2021,Man City,7
10,2021,Wolves,7
10,2021,Burnley,4
10,2021,Leeds,6
10,2021,Chelsea,12
10,2021,West Ham,9
10,2021,Tottenham,6
11,2021,Aston Villa,6
11,2021,Man City,9
11,2021,Norwich,7
11,2021,Wolves,7
11,2021,Watford,3
11,2021,Tottenham,4
11,2021,Leicester,4
11,2021,Liverpool,6
11,2021,Crystal Palace,4
11,2021,Brentford,4
11,2021,Southampton,3
11,2021,West Ham,3
11,2021,Arsenal,6
11,2021,Leeds,4
12,2021,Leicester,7
12,2021,Chelsea,10
12,2021,Brighton,6
12,2021,Man City,21
12,2021,Liverpool,13
12,2021,Brentford,4
12,2021,Arsenal,12
12,2021,Crystal Palace,6
12,2021,Aston Villa,6
12,2021,Man United,13
12,2021,West Ham,7
12,2021,Newcastle,3
12,2021,Everton,4
12,2021,Tottenham,10
01,2022,Man City,7
01,2022,West Ham,6
01,2022,Liverpool,7
01,2022,Wolves,9
01,2022,Brentford,3
01,2022,Norwich,6
01,2022,Chelsea,4
01,2022,Southampton,3
01,2022,Man United,7
01,2022,Leeds,6
02,2022,Everton,3
02,2022,Man United,7
02,2022,Southampton,10
02,2022,Arsenal,9
02,2022,Man City,9
02,2022,Liverpool,12
02,2022,Wolves,6
02,2022,West Ham,7
02,2022,Newcastle,10
02,2022,Burnley,7
03,2022,Leicester,9
03,2022,Leeds,6
03,2022,Chelsea,9
03,2022,Brentford,6
03,2022,West Ham,3
03,2022,Arsenal,9
03,2022,Man United,3
03,2022,Everton,3
03,2022,Newcastle,6
03,2022,Aston Villa,6
03,2022,Liverpool,9
03,2022,Tottenham,9
03,2022,Wolves,6
03,2022,Man City,4
04,2022,Norwich,4
04,2022,Man City,12
04,2022,Brentford,9
04,2022,Southampton,5
04,2022,Aston Villa,4
04,2022,Leicester,5
04,2022,Everton,3
04,2022,Newcastle,12
04,2022,Arsenal,6
04,2022,Wolves,3
04,2022,Man United,3
04,2022,Chelsea,7
04,2022,Tottenham,7
04,2022,West Ham,3
04,2022,Crystal Palace,6
04,2022,Burnley,13
04,2022,Liverpool,13
05,2022,Chelsea,6
05,2022,Leicester,10
05,2022,Arsenal,9
05,2022,Brentford,6
05,2022,Man United,3
05,2022,Tottenham,13
05,2022,Everton,10
05,2022,Newcastle,6
05,2022,Liverpool,9
05,2022,Man City,10
05,2022,Crystal Palace,7
05,2022,Brighton,7
