Team,Ratio_home_GF,Ratio_away_GF,Ratio_GF,Ratio_home_GA,Ratio_away_GA,Ratio_GA
Man City,44%,34%,78%,33%,26%,59%
West Ham,39%,37%,76%,32%,29%,61%
Liverpool,36%,38%,74%,19%,27%,46%
Chelsea,32%,41%,73%,35%,20%,55%
Leicester,36%,37%,73%,26%,33%,59%
Tottenham,39%,31%,70%,27%,30%,57%
Crystal Palace,33%,35%,68%,27%,35%,62%
Aston Villa,34%,30%,64%,36%,32%,68%
Brentford,29%,34%,63%,29%,32%,61%
Arsenal,30%,32%,62%,29%,35%,64%
Everton,36%,26%,62%,30%,38%,68%
Man United,32%,29%,61%,30%,32%,62%
Newcastle,34%,25%,59%,31%,42%,73%
Wolves,28%,28%,56%,30%,20%,50%
Burnley,25%,31%,56%,28%,28%,56%
Brighton,28%,27%,55%,28%,30%,58%
Leeds,25%,29%,54%,35%,33%,68%
Watford,25%,29%,54%,45%,34%,79%
Southampton,26%,24%,50%,27%,43%,70%
Norwich,19%,24%,43%,38%,35%,73%
